[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN] 2025/07/15 - 16:46:52 | 404 |          84ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         250ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         334ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          41ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         250ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          84ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         292ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          41ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         292ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         166ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         167ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         167ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          84ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         209ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         167ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          84ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          42ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          41ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          41ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          41ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          42ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          42ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          42ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         167ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         250ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         208ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         166ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         167ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         167ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          41ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:52 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         375ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         167ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         250ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         167ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         250ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         208ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         167ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          42ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         208ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          84ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         292ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          41ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |         125ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          84ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN] 2025/07/15 - 16:46:53 | 404 |          83ns |             ::1 | GET      "/asset/remove"
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
[GIN-debug] POST   /asset/add                --> go-raft/internal/adapters/http/asset.(*Handler).AddAsset-fm (6 handlers)
[GIN-debug] GET    /asset/balance            --> go-raft/internal/adapters/http/asset.(*Handler).GetBalance-fm (6 handlers)
[GIN-debug] GET    /asset/balances           --> go-raft/internal/adapters/http/asset.(*Handler).GetBalances-fm (6 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on 0.0.0.0:9090
